experiment,category,metric,value,total_samples,num_bins,bin_range,bin_count,avg_predicted_prob,empirical_frequency,calibration_gap
"Scheme A (+1, -1)_COMMON",ANSWERED,ECE,0.08053543383422199,4126,10,,,,,
"Scheme A (+1, -1)_COMMON",ANSWERED,bin_detail,,,,"[0.00, 0.10]",52,0.0413076923076923,0.07692307692307693,0.035615384615384625
"Scheme A (+1, -1)_COMMON",ANSWERED,bin_detail,,,,"[0.10, 0.20]",211,0.1403383886255924,0.22274881516587677,0.08241042654028438
"Scheme A (+1, -1)_COMMON",ANSWERED,bin_detail,,,,"[0.20, 0.30]",220,0.2459190909090909,0.2681818181818182,0.022262727272727295
"Scheme A (+1, -1)_COMMON",ANSWERED,bin_detail,,,,"[0.30, 0.40]",138,0.34220072463768114,0.32608695652173914,0.016113768115942007
"Scheme A (+1, -1)_COMMON",ANSWERED,bin_detail,,,,"[0.40, 0.50]",143,0.44003636363636367,0.3986013986013986,0.04143496503496508
"Scheme A (+1, -1)_COMMON",ANSWERED,bin_detail,,,,"[0.50, 0.60]",169,0.5450615384615385,0.40828402366863903,0.13677751479289946
"Scheme A (+1, -1)_COMMON",ANSWERED,bin_detail,,,,"[0.60, 0.70]",307,0.6505550488599348,0.501628664495114,0.14892638436482075
"Scheme A (+1, -1)_COMMON",ANSWERED,bin_detail,,,,"[0.70, 0.80]",450,0.748136,0.6177777777777778,0.13035822222222226
"Scheme A (+1, -1)_COMMON",ANSWERED,bin_detail,,,,"[0.80, 0.90]",947,0.8548861668426609,0.7655755015839493,0.08931066525871167
"Scheme A (+1, -1)_COMMON",ANSWERED,bin_detail,,,,"[0.90, 1.00]",1426,0.961379873772791,0.8997194950911641,0.06166037868162688
"Scheme A (+1, -1)_COMMON",OVERALL,ECE,0.07295345951629864,4755,10,,,,,
"Scheme A (+1, -1)_COMMON",OVERALL,bin_detail,,,,"[0.00, 0.10]",60,0.047466666666666664,0.08333333333333333,0.035866666666666665
"Scheme A (+1, -1)_COMMON",OVERALL,bin_detail,,,,"[0.10, 0.20]",305,0.1432649180327869,0.18360655737704917,0.04034163934426227
"Scheme A (+1, -1)_COMMON",OVERALL,bin_detail,,,,"[0.20, 0.30]",464,0.24752737068965516,0.2952586206896552,0.04773125000000003
"Scheme A (+1, -1)_COMMON",OVERALL,bin_detail,,,,"[0.30, 0.40]",167,0.3423820359281437,0.33532934131736525,0.007052694610778454
"Scheme A (+1, -1)_COMMON",OVERALL,bin_detail,,,,"[0.40, 0.50]",167,0.4388652694610779,0.38922155688622756,0.04964371257485034
"Scheme A (+1, -1)_COMMON",OVERALL,bin_detail,,,,"[0.50, 0.60]",175,0.5454022857142857,0.41714285714285715,0.12825942857142858
"Scheme A (+1, -1)_COMMON",OVERALL,bin_detail,,,,"[0.60, 0.70]",312,0.6503538461538462,0.5,0.15035384615384617
"Scheme A (+1, -1)_COMMON",OVERALL,bin_detail,,,,"[0.70, 0.80]",452,0.7480778761061948,0.6172566371681416,0.1308212389380532
"Scheme A (+1, -1)_COMMON",OVERALL,bin_detail,,,,"[0.80, 0.90]",948,0.8548599156118144,0.7658227848101266,0.08903713080168785
"Scheme A (+1, -1)_COMMON",OVERALL,bin_detail,,,,"[0.90, 1.00]",1426,0.961379873772791,0.8997194950911641,0.06166037868162688
