experiment,category,metric,value,total_samples,num_bins,bin_range,bin_count,avg_predicted_prob,empirical_frequency,calibration_gap
"Scheme A (+1, -1)_RARE",ANSWERED,ECE,0.22293050418039018,3947,10,,,,,
"Scheme A (+1, -1)_RARE",ANSWERED,bin_detail,,,,"[0.00, 0.10]",158,0.04349367088607595,0.056962025316455694,0.013468354430379748
"Scheme A (+1, -1)_RARE",ANSWERED,bin_detail,,,,"[0.10, 0.20]",513,0.13727407407407408,0.07992202729044834,0.05735204678362574
"Scheme A (+1, -1)_RARE",ANSWERED,bin_detail,,,,"[0.20, 0.30]",429,0.24084568764568764,0.10023310023310024,0.14061258741258742
"Scheme A (+1, -1)_RARE",ANSWERED,bin_detail,,,,"[0.30, 0.40]",229,0.3443410480349345,0.1572052401746725,0.187135807860262
"Scheme A (+1, -1)_RARE",ANSWERED,bin_detail,,,,"[0.40, 0.50]",209,0.43987033492822963,0.1722488038277512,0.2676215311004784
"Scheme A (+1, -1)_RARE",ANSWERED,bin_detail,,,,"[0.50, 0.60]",267,0.5465172284644194,0.23595505617977527,0.3105621722846441
"Scheme A (+1, -1)_RARE",ANSWERED,bin_detail,,,,"[0.60, 0.70]",356,0.647444382022472,0.3061797752808989,0.3412646067415731
"Scheme A (+1, -1)_RARE",ANSWERED,bin_detail,,,,"[0.70, 0.80]",477,0.7478071278825996,0.40461215932914046,0.34319496855345916
"Scheme A (+1, -1)_RARE",ANSWERED,bin_detail,,,,"[0.80, 0.90]",719,0.8527789986091796,0.5618915159944368,0.29088748261474284
"Scheme A (+1, -1)_RARE",ANSWERED,bin_detail,,,,"[0.90, 1.00]",584,0.9520289383561642,0.7602739726027398,0.19175496575342443
"Scheme A (+1, -1)_RARE",OVERALL,ECE,0.20078603575184018,4755,10,,,,,
"Scheme A (+1, -1)_RARE",OVERALL,bin_detail,,,,"[0.00, 0.10]",169,0.04481893491124261,0.05325443786982249,0.00843550295857988
"Scheme A (+1, -1)_RARE",OVERALL,bin_detail,,,,"[0.10, 0.20]",730,0.13899726027397258,0.06301369863013699,0.07598356164383559
"Scheme A (+1, -1)_RARE",OVERALL,bin_detail,,,,"[0.20, 0.30]",687,0.24388777292576422,0.10625909752547306,0.13762867540029117
"Scheme A (+1, -1)_RARE",OVERALL,bin_detail,,,,"[0.30, 0.40]",246,0.34444390243902445,0.16260162601626016,0.1818422764227643
"Scheme A (+1, -1)_RARE",OVERALL,bin_detail,,,,"[0.40, 0.50]",227,0.43974713656387665,0.17180616740088106,0.2679409691629956
"Scheme A (+1, -1)_RARE",OVERALL,bin_detail,,,,"[0.50, 0.60]",274,0.5466062043795621,0.24087591240875914,0.3057302919708029
"Scheme A (+1, -1)_RARE",OVERALL,bin_detail,,,,"[0.60, 0.70]",364,0.6474181318681319,0.30494505494505497,0.34247307692307694
"Scheme A (+1, -1)_RARE",OVERALL,bin_detail,,,,"[0.70, 0.80]",481,0.7476590436590437,0.40332640332640335,0.3443326403326403
"Scheme A (+1, -1)_RARE",OVERALL,bin_detail,,,,"[0.80, 0.90]",721,0.8526742024965326,0.5603328710124826,0.29234133148404995
"Scheme A (+1, -1)_RARE",OVERALL,bin_detail,,,,"[0.90, 1.00]",585,0.951974188034188,0.7589743589743589,0.19299982905982904
