experiment,category,metric,value,total_samples,num_bins,bin_range,bin_count,avg_predicted_prob,empirical_frequency,calibration_gap
"Scheme B (+1, -1, +0.4)_COMMON",ANSWERED,ECE,0.07418679572377931,3461,10,,,,,
"Scheme B (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.00, 0.10]",28,0.04291785714285715,0.07142857142857142,0.02851071428571427
"Scheme B (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.10, 0.20]",77,0.14535584415584413,0.2987012987012987,0.15334545454545456
"Scheme B (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.20, 0.30]",90,0.24441666666666662,0.24444444444444444,2.7777777777820978e-05
"Scheme B (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.30, 0.40]",48,0.33975,0.3541666666666667,0.014416666666666689
"Scheme B (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.40, 0.50]",74,0.4463135135135135,0.32432432432432434,0.12198918918918916
"Scheme B (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.50, 0.60]",99,0.5419777777777779,0.5151515151515151,0.026826262626262753
"Scheme B (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.60, 0.70]",211,0.6458047393364931,0.5639810426540285,0.08182369668246459
"Scheme B (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.70, 0.80]",392,0.748606887755102,0.6658163265306123,0.08279056122448969
"Scheme B (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.80, 0.90]",1057,0.8522708609271524,0.7729422894985809,0.07932857142857153
"Scheme B (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.90, 1.00]",1384,0.9582428468208093,0.8872832369942196,0.07095960982658966
"Scheme B (+1, -1, +0.4)_COMMON",OVERALL,ECE,0.056992407991587765,4755,10,,,,,
"Scheme B (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.00, 0.10]",36,0.0526138888888889,0.05555555555555555,0.002941666666666655
"Scheme B (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.10, 0.20]",202,0.14813960396039602,0.13861386138613863,0.009525742574257395
"Scheme B (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.20, 0.30]",638,0.24874608150470223,0.2852664576802508,0.03652037617554854
"Scheme B (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.30, 0.40]",170,0.3364288235294118,0.35294117647058826,0.016512352941176478
"Scheme B (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.40, 0.50]",152,0.43715592105263157,0.40789473684210525,0.029261184210526314
"Scheme B (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.50, 0.60]",125,0.5433008,0.496,0.04730080000000003
"Scheme B (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.60, 0.70]",230,0.6458656521739131,0.5782608695652174,0.06760478260869573
"Scheme B (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.70, 0.80]",396,0.7483936868686869,0.6616161616161617,0.08677752525252524
"Scheme B (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.80, 0.90]",1060,0.8523116037735848,0.7726415094339623,0.07967009433962258
"Scheme B (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.90, 1.00]",1385,0.9582224548736461,0.8873646209386281,0.07085783393501799
