experiment,category,metric,value,total_samples,num_bins,bin_range,bin_count,avg_predicted_prob,empirical_frequency,calibration_gap
"Scheme B (+1, -1, +0.4)_RARE",ANSWERED,ECE,0.24403433034230637,3009,10,,,,,
"Scheme B (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.00, 0.10]",72,0.042637499999999995,0.05555555555555555,0.012918055555555558
"Scheme B (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.10, 0.20]",240,0.13916583333333335,0.0875,0.051665833333333355
"Scheme B (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.20, 0.30]",214,0.23931962616822433,0.13551401869158877,0.10380560747663556
"Scheme B (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.30, 0.40]",138,0.34283550724637685,0.14492753623188406,0.19790797101449278
"Scheme B (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.40, 0.50]",117,0.43601025641025637,0.24786324786324787,0.1881470085470085
"Scheme B (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.50, 0.60]",165,0.5385509090909092,0.30303030303030304,0.23552060606060615
"Scheme B (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.60, 0.70]",242,0.6444152892561983,0.3305785123966942,0.31383677685950406
"Scheme B (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.70, 0.80]",462,0.741743722943723,0.341991341991342,0.399752380952381
"Scheme B (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.80, 0.90]",791,0.8495395701643488,0.549936788874842,0.2996027812895068
"Scheme B (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.90, 1.00]",551,0.9509068965517241,0.7459165154264973,0.20499038112522683
"Scheme B (+1, -1, +0.4)_RARE",OVERALL,ECE,0.1956526393270242,4755,10,,,,,
"Scheme B (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.00, 0.10]",87,0.05128620689655172,0.05747126436781609,0.0061850574712643686
"Scheme B (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.10, 0.20]",589,0.1441544991511036,0.05432937181663837,0.08982512733446522
"Scheme B (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.20, 0.30]",987,0.24581793313069908,0.08915906788247213,0.15665886524822695
"Scheme B (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.30, 0.40]",230,0.33817391304347827,0.1782608695652174,0.15991304347826088
"Scheme B (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.40, 0.50]",172,0.4346500000000001,0.2616279069767442,0.17302209302325589
"Scheme B (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.50, 0.60]",175,0.5383868571428572,0.3142857142857143,0.2241011428571429
"Scheme B (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.60, 0.70]",254,0.6440681102362206,0.3346456692913386,0.30942244094488197
"Scheme B (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.70, 0.80]",468,0.7417405982905982,0.3418803418803419,0.39986025641025635
"Scheme B (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.80, 0.90]",792,0.8495275252525254,0.5492424242424242,0.3002851010101012
"Scheme B (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.90, 1.00]",551,0.9509068965517241,0.7459165154264973,0.20499038112522683
