experiment,category,metric,value,total_samples,num_bins,bin_range,bin_count,avg_predicted_prob,empirical_frequency,calibration_gap
"Scheme B Norms (+1, -1, +0.4)_COMMON",ANSWERED,ECE,0.07601193051458545,3051,10,,,,,
"Scheme B Norms (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.00, 0.10]",21,0.03525714285714286,0.14285714285714285,0.10759999999999999
"Scheme B Norms (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.10, 0.20]",45,0.14754444444444442,0.28888888888888886,0.14134444444444444
"Scheme B Norms (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.20, 0.30]",33,0.2459545454545454,0.3333333333333333,0.08737878787878792
"Scheme B Norms (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.30, 0.40]",38,0.34096842105263164,0.47368421052631576,0.13271578947368412
"Scheme B Norms (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.40, 0.50]",41,0.4367463414634147,0.4146341463414634,0.022112195121951284
"Scheme B Norms (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.50, 0.60]",49,0.547169387755102,0.5918367346938775,0.0446673469387755
"Scheme B Norms (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.60, 0.70]",122,0.648194262295082,0.5573770491803278,0.09081721311475421
"Scheme B Norms (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.70, 0.80]",257,0.7476463035019456,0.6731517509727627,0.07449455252918291
"Scheme B Norms (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.80, 0.90]",796,0.8558179648241205,0.7726130653266332,0.08320489949748733
"Scheme B Norms (+1, -1, +0.4)_COMMON",ANSWERED,bin_detail,,,,"[0.90, 1.00]",1579,0.961883723875871,0.8885370487650411,0.07334667511082982
"Scheme B Norms (+1, -1, +0.4)_COMMON",OVERALL,ECE,0.0709323869610936,4755,10,,,,,
"Scheme B Norms (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.00, 0.10]",29,0.04619310344827587,0.10344827586206896,0.0572551724137931
"Scheme B Norms (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.10, 0.20]",263,0.15523878326996196,0.1482889733840304,0.006949809885931552
"Scheme B Norms (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.20, 0.30]",1101,0.250280744777475,0.3387829246139873,0.08850217983651232
"Scheme B Norms (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.30, 0.40]",142,0.3377077464788732,0.4154929577464789,0.07778521126760568
"Scheme B Norms (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.40, 0.50]",185,0.4388021621621622,0.40540540540540543,0.033396756756756796
"Scheme B Norms (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.50, 0.60]",66,0.545828787878788,0.5303030303030303,0.015525757575757693
"Scheme B Norms (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.60, 0.70]",158,0.6460544303797469,0.5506329113924051,0.09542151898734175
"Scheme B Norms (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.70, 0.80]",271,0.7475782287822879,0.6789667896678967,0.06861143911439116
"Scheme B Norms (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.80, 0.90]",799,0.855821151439299,0.769712140175219,0.08610901126408
"Scheme B Norms (+1, -1, +0.4)_COMMON",OVERALL,bin_detail,,,,"[0.90, 1.00]",1582,0.9618422250316055,0.888748419721871,0.07309380530973453
