experiment,category,metric,value,total_samples,num_bins,bin_range,bin_count,avg_predicted_prob,empirical_frequency,calibration_gap
"Scheme B Norms (+1, -1, +0.4)_RARE",ANSWERED,ECE,0.25091824592331424,2269,10,,,,,
"Scheme B Norms (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.00, 0.10]",52,0.025280769230769225,0.07692307692307693,0.0516423076923077
"Scheme B Norms (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.10, 0.20]",124,0.13875322580645164,0.12096774193548387,0.01778548387096776
"Scheme B Norms (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.20, 0.30]",108,0.24470555555555557,0.1388888888888889,0.10581666666666667
"Scheme B Norms (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.30, 0.40]",66,0.3424924242424242,0.15151515151515152,0.1909772727272727
"Scheme B Norms (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.40, 0.50]",78,0.43935,0.20512820512820512,0.2342217948717949
"Scheme B Norms (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.50, 0.60]",72,0.5392055555555556,0.2638888888888889,0.2753166666666667
"Scheme B Norms (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.60, 0.70]",134,0.6430037313432836,0.3358208955223881,0.3071828358208955
"Scheme B Norms (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.70, 0.80]",287,0.7438961672473867,0.397212543554007,0.34668362369337974
"Scheme B Norms (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.80, 0.90]",601,0.8513906821963394,0.5324459234608985,0.3189447587354409
"Scheme B Norms (+1, -1, +0.4)_RARE",ANSWERED,bin_detail,,,,"[0.90, 1.00]",705,0.9531509219858156,0.7120567375886525,0.24109418439716312
"Scheme B Norms (+1, -1, +0.4)_RARE",OVERALL,ECE,0.17941920084121976,4755,10,,,,,
"Scheme B Norms (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.00, 0.10]",74,0.045022972972972974,0.05405405405405406,0.009031081081081083
"Scheme B Norms (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.10, 0.20]",657,0.14858432267884322,0.0563165905631659,0.09226773211567732
"Scheme B Norms (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.20, 0.30]",1696,0.24918237028301884,0.12264150943396226,0.12654086084905658
"Scheme B Norms (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.30, 0.40]",162,0.34038765432098766,0.22839506172839505,0.11199259259259262
"Scheme B Norms (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.40, 0.50]",149,0.43796040268456377,0.3087248322147651,0.12923557046979867
"Scheme B Norms (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.50, 0.60]",90,0.5417677777777778,0.2777777777777778,0.26399000000000006
"Scheme B Norms (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.60, 0.70]",162,0.6429049382716049,0.3395061728395062,0.3033987654320987
"Scheme B Norms (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.70, 0.80]",300,0.7435633333333332,0.4033333333333333,0.3402299999999999
"Scheme B Norms (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.80, 0.90]",606,0.85136600660066,0.533003300330033,0.318362706270627
"Scheme B Norms (+1, -1, +0.4)_RARE",OVERALL,bin_detail,,,,"[0.90, 1.00]",707,0.9532268741159831,0.71004243281471,0.24318444130127304
